Optimizer,Learning Rate,Momentum,Val PR-AUC,Val ROC-AUC,Val F1-Score,Val Precision,Val Recall,Training Time (s),Epochs,Is Best
ADAM,0.0001,-,0.8521,0.9909,0.8571,0.8696,0.8451,20.2,25,True
ADAM,0.001,-,0.8479,0.9765,0.8163,0.7895,0.8451,16.6,20,False
ADAM,0.01,-,0.0019,0.5,0.0,0.0,0.0,14.3,18,False
ADAM,0.1,-,0.0019,0.5,0.0,0.0,0.0,13.1,16,False
